Date;Year;Competition;CompetitionSet;Comp.SetDetail;Sport;Discipline;Gender;Class;Phase;Rank;Medal;Team Members;Person/Team;Person;Person First Name;Person Last Name;PersonGender;Team;Nationality;DoB;YoB;Age (days);Age;Country;Country Code;Continent;Result;Sec/Mtr/Pts;Host City;Host Country;Host Continent;# Participants;# Countries;# Continents;World Ranking;Rank Within Country;Is Olympic Discipline
23.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;12.5km Mass Start;Women;Seniors;;11;;No;Aita Gasparin (SUI, 09 Feb 1994);Aita Gasparin;Aita;Gasparin;Women;Switzerland;SUI;09.02.1994;;31-014;31;Switzerland;SUI;Europe;41:40.7;2 501;Lenzerheide;Switzerland;Europe;30;14;1;;1;Yes
23.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;12.5km Mass Start;Women;Seniors;;21;;No;Lena Häcki-Groß (SUI, 01 Jul 1995);Lena Häcki-Groß;Lena;Häcki-Groß;Women;Switzerland;SUI;01.07.1995;;29-237;29;Switzerland;SUI;Europe;42:44.7;2 565;Lenzerheide;Switzerland;Europe;30;14;1;;2;Yes
23.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;15km Mass Start;Men;Seniors;;17;;No;Niklas Hartweg (SUI, 01 Mar 2000);Niklas Hartweg;Niklas;Hartweg;Men;Switzerland;SUI;01.03.2000;;24-359;24;Switzerland;SUI;Europe;40:25.3;2 425;Lenzerheide;Switzerland;Europe;30;13;2;;1;Yes
23.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;15km Mass Start;Men;Seniors;;25;;No;Sebastian Stalder (SUI, 19 Jan 1998);Sebastian Stalder;Sebastian;Stalder;Men;Switzerland;SUI;19.01.1998;;27-035;27;Switzerland;SUI;Europe;41:12.6;2 473;Lenzerheide;Switzerland;Europe;30;13;2;;2;Yes
23.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;15km Mass Start;Men;Seniors;;26;;No;Joscha Burkhalter (SUI, 11 Jul 1996);Joscha Burkhalter;Joscha;Burkhalter;Men;Switzerland;SUI;11.07.1996;;28-227;28;Switzerland;SUI;Europe;41:14.6;2 475;Lenzerheide;Switzerland;Europe;30;13;2;;3;Yes
19.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;20km Individual;Men;Seniors;;5;;No;Niklas Hartweg (SUI, 01 Mar 2000);Niklas Hartweg;Niklas;Hartweg;Men;Switzerland;SUI;01.03.2000;;24-355;24;Switzerland;SUI;Europe;50:13.6;3 014;Lenzerheide;Switzerland;Europe;97;31;5;;1;Yes
19.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;20km Individual;Men;Seniors;;11;;No;Sebastian Stalder (SUI, 19 Jan 1998);Sebastian Stalder;Sebastian;Stalder;Men;Switzerland;SUI;19.01.1998;;27-031;27;Switzerland;SUI;Europe;51:19.7;3 080;Lenzerheide;Switzerland;Europe;97;31;5;;2;Yes
19.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;20km Individual;Men;Seniors;;29;;No;Joscha Burkhalter (SUI, 11 Jul 1996);Joscha Burkhalter;Joscha;Burkhalter;Men;Switzerland;SUI;11.07.1996;;28-223;28;Switzerland;SUI;Europe;53:17.2;3 197;Lenzerheide;Switzerland;Europe;97;31;5;;3;Yes
18.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;15km Individual;Women;Seniors;;16;;No;Lena Häcki-Groß (SUI, 01 Jul 1995);Lena Häcki-Groß;Lena;Häcki-Groß;Women;Switzerland;SUI;01.07.1995;;29-232;29;Switzerland;SUI;Europe;44:10.1;2 650;Lenzerheide;Switzerland;Europe;93;30;5;;1;Yes
18.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;15km Individual;Women;Seniors;;19;;No;Amy Baserga (SUI, 29 Sep 2000);Amy Baserga;Amy;Baserga;Women;Switzerland;SUI;29.09.2000;;24-142;24;Switzerland;SUI;Europe;44:18.8;2 659;Lenzerheide;Switzerland;Europe;93;30;5;;2;Yes
